hari_ke,tanggal_lengkap,cabe_rawit_merah,lag_1,lag_3,lag_7,ma_7
367,2024-01-02,40000.0,40000.0,75000.0,70000.0,62142.857142857145
368,2024-01-03,40000.0,40000.0,70000.0,70000.0,57857.142857142855
369,2024-01-04,45000.0,40000.0,40000.0,70000.0,54285.71428571428
370,2024-01-05,45000.0,45000.0,40000.0,70000.0,50714.28571428572
371,2024-01-06,45000.0,45000.0,40000.0,75000.0,46428.57142857143
372,2024-01-07,45000.0,45000.0,45000.0,70000.0,42857.142857142855
373,2024-01-08,45000.0,45000.0,45000.0,40000.0,43571.42857142857
374,2024-01-09,45000.0,45000.0,45000.0,40000.0,44285.71428571428
375,2024-01-10,55000.0,45000.0,45000.0,40000.0,46428.57142857143
376,2024-01-11,55000.0,55000.0,45000.0,45000.0,47857.142857142855
377,2024-01-12,55000.0,55000.0,45000.0,45000.0,49285.71428571428
378,2024-01-13,55000.0,55000.0,55000.0,45000.0,50714.28571428572
379,2024-01-14,55000.0,55000.0,55000.0,45000.0,52142.857142857145
380,2024-01-15,55000.0,55000.0,55000.0,45000.0,53571.42857142857
381,2024-01-16,55000.0,55000.0,55000.0,45000.0,55000.0
382,2024-01-17,55000.0,55000.0,55000.0,55000.0,55000.0
383,2024-01-18,55000.0,55000.0,55000.0,55000.0,55000.0
384,2024-01-19,55000.0,55000.0,55000.0,55000.0,55000.0
